CustomerID,churn,tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,sat_score,MaritalStatus,NumberOfAddress,complaint_score,OrderAmountHikeFromlastYear,CouponUsed,frequency,order_gap_days,spend,sent_slope,sent_avg,micro_risk_score,pagerank_score,churn_neighbor_ratio,degree_centrality,churn_score,risk,domain
50001,1,4.0,Mobile Phone,3,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,2,Single,9,1,11.0,1.0,1.0,5.0,159.93,-0.2085848760736706,-0.6983630344479174,0.35003818664186676,0.00878317828314928,0.33570397238049865,0.1638535579208299,38.0,LOW,Ecommerce
50002,1,0.0,Phone,1,8.0,UPI,Male,3.0,4,Mobile,3,Single,7,1,15.0,0.0,1.0,0.0,120.9,-0.6119952318721487,0.7077550702582049,0.3588855203878302,0.008697722634388533,0.42506938017229196,0.1318879733053519,95.5,HIGH,Ecommerce
50003,1,0.0,Phone,1,30.0,Debit Card,Male,2.0,4,Mobile,3,Single,6,1,14.0,0.0,1.0,3.0,120.28,-0.07486464125806286,-1.0,0.37027427609807745,0.00829921058905908,0.5350347989146629,0.24009365189871715,79.3,HIGH,Ecommerce
50004,1,0.0,Phone,3,15.0,Debit Card,Male,2.0,4,Laptop & Accessory,5,Single,8,0,23.0,0.0,1.0,3.0,134.07,-0.017830585082635853,0.47519957802136537,0.15008287599623676,0.0033530172527482895,0.7446192889720764,0.02647910480169724,99.3,HIGH,Ecommerce
50005,1,0.0,Phone,1,12.0,CC,Male,,3,Mobile,5,Single,3,0,11.0,1.0,1.0,3.0,129.6,-0.885310556596151,0.09654054959510393,0.1800665139644902,0.0016947951194657928,0.5822613143670736,0.09373699746344996,78.8,HIGH,Ecommerce
50006,1,0.0,Computer,1,22.0,Debit Card,Female,3.0,5,Mobile Phone,5,Single,2,1,22.0,4.0,6.0,7.0,139.19,-0.6906538520586953,-0.8399884860978466,0.4894213781585047,0.00951819202401457,0.5038487644728162,0.10318737730493864,98.0,HIGH,Ecommerce
50007,1,0.0,Phone,3,11.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,2,Divorced,4,0,14.0,0.0,1.0,0.0,120.86000000000001,-0.2616478790498144,0.2784551308959146,0.00210612182622989,0.006524125219423917,0.59079559282351,0.245079412528727,72.9,HIGH,Ecommerce
50008,1,0.0,Phone,1,6.0,CC,Male,3.0,3,Mobile,2,Divorced,3,1,16.0,2.0,2.0,0.0,122.93,-0.39487277770307466,0.5603358996608234,0.3284913673531065,0.0010236767826366975,0.5463050359762833,0.10960837333706645,90.1,HIGH,Ecommerce
50009,1,13.0,Phone,3,9.0,E wallet,Male,,4,Mobile,3,Divorced,2,1,14.0,0.0,1.0,2.0,126.83000000000001,-0.30504034725128665,0.24555480152862927,0.3588277715008185,0.009193664602592543,0.23225849712310306,0.10479129156908372,55.0,MEDIUM,Ecommerce
50010,1,0.0,Phone,1,31.0,Debit Card,Male,2.0,5,Mobile,3,Single,2,0,12.0,1.0,1.0,1.0,122.93,-0.555913178272074,0.3339310548238452,0.2071739811374883,0.009863231277138,0.37274550143975715,0.07690142978170439,75.7,HIGH,Ecommerce
50011,1,4.0,Mobile Phone,1,18.0,Cash on Delivery,Female,2.0,3,Others,3,Divorced,2,0,,9.0,15.0,8.0,295.45,-0.03618060754115143,-0.06467044493562465,0.28121297072772544,0.003576669437495534,0.7198704995542307,0.035460056459620234,99.2,HIGH,Ecommerce
50012,1,11.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,4,Fashion,3,Single,10,1,13.0,0.0,1.0,0.0,153.81,-0.0666624193713155,-0.6445559020884088,0.11137024484030933,0.008322950107350817,0.6562735729603391,0.2861298840618437,97.6,HIGH,Ecommerce
50013,1,0.0,Phone,1,11.0,COD,Male,2.0,3,Mobile,3,Single,2,1,13.0,2.0,2.0,2.0,134.41,-0.28019079073163516,0.37674560893482567,0.14194783506164985,0.0017416714949317741,0.7715321506037707,0.09363143088763227,98.9,HIGH,Ecommerce
50014,1,0.0,Phone,1,15.0,CC,Male,3.0,4,Mobile,3,Divorced,1,1,17.0,0.0,1.0,0.0,133.88,0.03817236209040986,0.7999015677785183,0.17803052235305863,0.0049445204257307935,0.43313445815061347,0.03660049590423453,78.3,HIGH,Ecommerce
