CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,spend,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,churn,frequency,days_inactive,Phone Service_enc,Multiple Lines_enc,Online Security_enc,Tech Support_enc,Streaming TV_enc,sent_slope,sent_avg,micro_risk_score,pagerank_score,churn_neighbor_ratio,degree_centrality,churn_score,risk,domain
3668-QPYBK,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,1,2.0,70,1,0,1,0,0,-0.2085848760736706,0.9073062175168743,0.8500381866418667,0.00878317828314928,0.6700067707960311,0.22504086561989847,97.7,HIGH,Telecom
9237-HQITU,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,1,2.0,70,1,0,0,0,0,-0.6119952318721487,-0.07011407887924379,0.9588855203878301,0.008697722634388533,0.5474423418760344,0.01910227253828424,81.0,HIGH,Telecom
9305-CDSKC,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,1,8.0,64,1,1,0,0,1,-0.07486464125806286,0.15643815286485574,0.9102742760980774,0.00829921058905908,0.24220031348181906,0.2527053709563789,90.1,HIGH,Telecom
7892-POOKP,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,1,29.0,44,1,1,0,1,1,-0.017830585082635853,0.32857969020653754,0.6900828759962367,0.0033530172527482895,0.2281387573687038,0.19340298439150358,32.0,LOW,Telecom
0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,1,49.0,23,1,1,0,0,1,-0.885310556596151,0.39045162244622145,0.5800665139644902,0.0016947951194657928,0.5984808465940937,0.28187123711429835,88.8,HIGH,Telecom
4190-MFLUW,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,1,10.0,62,1,0,0,1,0,-0.6906538520586953,0.20955357530387286,0.9494213781585048,0.00951819202401457,0.2866922725143472,0.12532685798279306,43.6,MEDIUM,Telecom
8779-QRDMV,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,1,1.0,71,0,0,0,0,0,-0.2616478790498144,0.49895383348254707,0.6021061218262299,0.006524125219423917,0.2789337024009778,0.12772778495898168,71.4,HIGH,Telecom
1066-JKSGK,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,1,1.0,71,1,0,0,0,0,-0.39487277770307466,0.3076282851687251,0.9284913673531066,0.0010236767826366975,0.4108617317548032,0.1853920645140312,79.4,HIGH,Telecom
6467-CHFZW,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,1,48.0,25,1,1,0,0,1,-0.30504034725128665,0.8043524560129215,0.8188277715008185,0.009193664602592543,0.609842165541824,0.27750140308805915,99.0,HIGH,Telecom
8665-UTDHZ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,1,1.0,71,0,0,0,0,0,-0.555913178272074,0.3089310171418389,0.7871739811374883,0.009863231277138,0.46885188598623,0.22901438416540654,85.3,HIGH,Telecom
8773-HHUOZ,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,1,17.0,55,1,0,0,0,1,-0.03618060754115143,0.8858542079532349,0.7212129707277254,0.003576669437495534,0.3816187919000954,0.03526317214177796,14.5,LOW,Telecom
6047-YHPVI,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,1,5.0,67,1,0,0,0,0,-0.0666624193713155,0.4604315360950624,0.7113702448403093,0.008322950107350817,0.504962596015126,0.1605256254991282,32.5,LOW,Telecom
5380-WJKOV,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,1,33.0,38,1,1,0,0,1,-0.28019079073163516,-0.6223000503073052,0.7019478350616498,0.0017416714949317741,0.4541034836079174,0.06192988944546418,53.7,MEDIUM,Telecom
